task_id,task_type,weather,operator_skill,machine_age,start_hour,estimated_min,actual_min,source
T001,Earth Excavation,Sunny,Expert,2,9,60,58,brief
T002,Trenching,Rainy,Intermediate,4,9,45,52,brief
T003,Material Loading,Cloudy,Beginner,3,9,30,42,brief
T004,Grading,Sunny,Expert,5,9,35,33,brief
T005,Demolition,Windy,Intermediate,6,9,90,105,brief
S00000,Earth Excavation,Rainy,Intermediate,0,14,75,77,synthetic
S00001,Material Loading,Rainy,Beginner,5,8,50,70,synthetic
S00002,Material Loading,Cloudy,Beginner,4,16,30,44,synthetic
S00003,Material Loading,Sunny,Intermediate,9,16,25,29,synthetic
S00004,Earth Excavation,Windy,Intermediate,4,16,75,87,synthetic
S00005,Grading,Sunny,Intermediate,6,8,30,34,synthetic
S00006,Demolition,Sunny,Beginner,9,11,125,184,synthetic
S00007,Grading,Cloudy,Expert,3,9,30,31,synthetic
S00008,Demolition,Rainy,Beginner,1,10,95,127,synthetic
S00009,Material Loading,Sunny,Intermediate,2,14,40,42,synthetic
S00010,Demolition,Rainy,Expert,8,14,75,77,synthetic
S00011,Trenching,Cloudy,Intermediate,0,8,60,69,synthetic
S00012,Material Loading,Cloudy,Intermediate,0,15,40,44,synthetic
S00013,Material Loading,Sunny,Intermediate,6,7,35,37,synthetic
S00014,Demolition,Rainy,Intermediate,0,9,75,78,synthetic
S00015,Demolition,Cloudy,Expert,1,13,85,83,synthetic
S00016,Demolition,Rainy,Intermediate,3,8,120,136,synthetic
S00017,Earth Excavation,Cloudy,Intermediate,7,8,40,47,synthetic
S00018,Demolition,Sunny,Intermediate,1,11,70,70,synthetic
S00019,Grading,Sunny,Intermediate,3,8,45,45,synthetic
S00020,Trenching,Sunny,Intermediate,8,17,65,74,synthetic
S00021,Trenching,Sunny,Intermediate,0,8,55,54,synthetic
S00022,Earth Excavation,Sunny,Expert,8,13,60,59,synthetic
S00023,Material Loading,Rainy,Beginner,7,11,45,68,synthetic
S00024,Earth Excavation,Sunny,Intermediate,8,11,65,74,synthetic
S00025,Earth Excavation,Sunny,Intermediate,7,8,65,67,synthetic
S00026,Grading,Cloudy,Beginner,4,10,30,43,synthetic
S00027,Trenching,Cloudy,Beginner,5,15,30,46,synthetic
S00028,Trenching,Windy,Intermediate,1,13,45,44,synthetic
S00029,Demolition,Cloudy,Intermediate,9,11,80,95,synthetic
S00030,Trenching,Sunny,Beginner,3,13,60,71,synthetic
S00031,Grading,Cloudy,Expert,8,14,45,49,synthetic
S00032,Trenching,Sunny,Beginner,2,7,30,37,synthetic
S00033,Material Loading,Rainy,Beginner,10,10,30,50,synthetic
S00034,Grading,Sunny,Intermediate,10,17,35,43,synthetic
S00035,Material Loading,Windy,Intermediate,1,16,20,25,synthetic
S00036,Demolition,Cloudy,Beginner,5,10,140,199,synthetic
S00037,Trenching,Sunny,Intermediate,8,15,55,65,synthetic
S00038,Earth Excavation,Sunny,Expert,0,16,85,79,synthetic
S00039,Grading,Rainy,Intermediate,0,9,30,31,synthetic
S00040,Demolition,Cloudy,Beginner,4,8,130,184,synthetic
S00041,Earth Excavation,Cloudy,Expert,10,8,50,55,synthetic
S00042,Demolition,Sunny,Intermediate,9,15,120,149,synthetic
S00043,Earth Excavation,Sunny,Expert,6,17,75,74,synthetic
S00044,Demolition,Cloudy,Intermediate,3,17,85,96,synthetic
S00045,Demolition,Cloudy,Expert,1,13,140,127,synthetic
S00046,Grading,Windy,Intermediate,1,13,30,31,synthetic
S00047,Grading,Rainy,Intermediate,9,7,50,68,synthetic
S00048,Trenching,Sunny,Beginner,3,12,60,73,synthetic
S00049,Demolition,Sunny,Intermediate,1,11,135,147,synthetic
S00050,Earth Excavation,Cloudy,Beginner,5,9,70,91,synthetic
S00051,Demolition,Sunny,Beginner,9,7,125,173,synthetic
S00052,Trenching,Sunny,Beginner,10,8,35,53,synthetic
S00053,Material Loading,Sunny,Expert,5,8,25,24,synthetic
S00054,Grading,Sunny,Expert,4,13,25,26,synthetic
S00055,Demolition,Cloudy,Intermediate,8,16,95,111,synthetic
S00056,Material Loading,Sunny,Expert,2,9,20,21,synthetic
S00057,Demolition,Sunny,Expert,10,12,95,93,synthetic
S00058,Earth Excavation,Windy,Expert,7,8,80,92,synthetic
S00059,Demolition,Rainy,Beginner,6,15,140,216,synthetic
S00060,Grading,Cloudy,Expert,3,12,50,54,synthetic
S00061,Demolition,Cloudy,Intermediate,2,9,100,106,synthetic
S00062,Material Loading,Sunny,Intermediate,3,11,30,33,synthetic
S00063,Grading,Cloudy,Intermediate,2,10,35,41,synthetic
S00064,Grading,Sunny,Intermediate,5,12,55,66,synthetic
S00065,Material Loading,Cloudy,Beginner,8,13,40,56,synthetic
S00066,Earth Excavation,Cloudy,Expert,5,16,75,80,synthetic
S00067,Demolition,Rainy,Expert,6,7,115,114,synthetic
S00068,Grading,Rainy,Beginner,4,13,25,38,synthetic
S00069,Demolition,Sunny,Beginner,7,13,130,172,synthetic
S00070,Material Loading,Cloudy,Expert,0,13,35,29,synthetic
S00071,Grading,Rainy,Beginner,5,12,40,52,synthetic
S00072,Earth Excavation,Sunny,Expert,7,7,85,88,synthetic
S00073,Grading,Cloudy,Beginner,8,10,40,60,synthetic
S00074,Demolition,Sunny,Expert,5,10,125,121,synthetic
S00075,Demolition,Sunny,Beginner,8,11,70,107,synthetic
S00076,Earth Excavation,Rainy,Beginner,6,12,65,102,synthetic
S00077,Grading,Windy,Intermediate,4,8,60,79,synthetic
S00078,Demolition,Cloudy,Expert,0,14,115,110,synthetic
S00079,Earth Excavation,Sunny,Beginner,10,12,60,82,synthetic
S00080,Earth Excavation,Rainy,Beginner,5,8,55,74,synthetic
S00081,Earth Excavation,Rainy,Expert,0,8,80,85,synthetic
S00082,Grading,Sunny,Beginner,2,9,25,32,synthetic
S00083,Demolition,Windy,Expert,3,14,130,137,synthetic
S00084,Earth Excavation,Cloudy,Expert,10,15,40,42,synthetic
S00085,Trenching,Rainy,Expert,10,17,60,76,synthetic
S00086,Demolition,Sunny,Beginner,5,9,120,174,synthetic
S00087,Material Loading,Sunny,Beginner,8,15,35,48,synthetic
S00088,Earth Excavation,Windy,Intermediate,8,13,50,62,synthetic
S00089,Earth Excavation,Windy,Expert,5,14,70,78,synthetic
S00090,Trenching,Windy,Expert,6,12,30,33,synthetic
S00091,Trenching,Sunny,Intermediate,2,17,55,57,synthetic
S00092,Material Loading,Cloudy,Intermediate,4,17,35,41,synthetic
S00093,Material Loading,Cloudy,Intermediate,1,8,35,38,synthetic
S00094,Demolition,Sunny,Intermediate,8,13,85,96,synthetic
S00095,Demolition,Sunny,Intermediate,10,13,95,103,synthetic
S00096,Demolition,Cloudy,Intermediate,1,9,60,61,synthetic
S00097,Trenching,Cloudy,Intermediate,6,14,50,60,synthetic
S00098,Trenching,Sunny,Intermediate,5,13,60,76,synthetic
S00099,Demolition,Windy,Intermediate,1,17,105,123,synthetic
S00100,Grading,Sunny,Beginner,5,16,40,57,synthetic
S00101,Demolition,Sunny,Expert,6,10,135,132,synthetic
S00102,Grading,Sunny,Intermediate,4,16,35,35,synthetic
S00103,Material Loading,Cloudy,Expert,7,8,30,27,synthetic
S00104,Material Loading,Rainy,Beginner,4,10,45,67,synthetic
S00105,Earth Excavation,Cloudy,Intermediate,3,7,75,87,synthetic
S00106,Grading,Sunny,Expert,4,16,40,44,synthetic
S00107,Demolition,Windy,Beginner,7,8,110,185,synthetic
S00108,Demolition,Rainy,Expert,0,11,95,104,synthetic
S00109,Demolition,Windy,Expert,10,7,70,75,synthetic
S00110,Earth Excavation,Cloudy,Intermediate,7,12,50,56,synthetic
S00111,Trenching,Cloudy,Beginner,6,14,35,49,synthetic
S00112,Grading,Sunny,Expert,8,12,50,53,synthetic
S00113,Demolition,Rainy,Intermediate,7,16,135,169,synthetic
S00114,Material Loading,Rainy,Intermediate,4,10,45,50,synthetic
S00115,Earth Excavation,Cloudy,Beginner,4,8,60,88,synthetic
S00116,Trenching,Windy,Expert,7,11,35,38,synthetic
S00117,Earth Excavation,Sunny,Expert,1,14,70,65,synthetic
S00118,Grading,Cloudy,Intermediate,10,15,60,77,synthetic
S00119,Material Loading,Rainy,Beginner,5,16,40,63,synthetic
S00120,Material Loading,Cloudy,Intermediate,10,14,40,54,synthetic
S00121,Earth Excavation,Rainy,Expert,10,15,90,110,synthetic
S00122,Earth Excavation,Rainy,Expert,10,12,45,57,synthetic
S00123,Demolition,Sunny,Beginner,0,15,100,138,synthetic
S00124,Trenching,Windy,Beginner,4,16,50,75,synthetic
S00125,Earth Excavation,Sunny,Expert,10,14,55,53,synthetic
S00126,Grading,Rainy,Beginner,4,15,50,76,synthetic
S00127,Demolition,Rainy,Intermediate,4,7,80,95,synthetic
S00128,Trenching,Sunny,Expert,7,16,55,62,synthetic
S00129,Trenching,Sunny,Beginner,8,16,35,49,synthetic
S00130,Grading,Sunny,Intermediate,6,16,45,48,synthetic
S00131,Grading,Rainy,Intermediate,4,15,25,34,synthetic
S00132,Grading,Sunny,Intermediate,1,13,35,32,synthetic
S00133,Earth Excavation,Cloudy,Beginner,3,8,60,91,synthetic
S00134,Earth Excavation,Sunny,Expert,3,11,40,38,synthetic
S00135,Demolition,Windy,Intermediate,10,15,90,114,synthetic
S00136,Demolition,Sunny,Beginner,6,10,85,119,synthetic
S00137,Trenching,Cloudy,Intermediate,6,14,50,55,synthetic
S00138,Demolition,Sunny,Intermediate,3,16,80,89,synthetic
S00139,Earth Excavation,Rainy,Beginner,6,11,65,106,synthetic
S00140,Demolition,Rainy,Intermediate,7,16,150,184,synthetic
S00141,Material Loading,Sunny,Intermediate,4,14,25,26,synthetic
S00142,Grading,Sunny,Intermediate,10,17,40,45,synthetic
S00143,Trenching,Sunny,Expert,10,12,30,31,synthetic
S00144,Grading,Sunny,Expert,6,11,35,37,synthetic
S00145,Demolition,Sunny,Expert,5,11,120,122,synthetic
S00146,Earth Excavation,Rainy,Expert,1,7,40,42,synthetic
S00147,Trenching,Sunny,Intermediate,6,15,50,53,synthetic
S00148,Material Loading,Sunny,Intermediate,10,12,25,27,synthetic
S00149,Trenching,Windy,Intermediate,5,7,35,38,synthetic
S00150,Demolition,Sunny,Expert,3,8,120,116,synthetic
S00151,Earth Excavation,Sunny,Expert,1,8,40,32,synthetic
S00152,Material Loading,Cloudy,Intermediate,7,16,25,30,synthetic
S00153,Trenching,Sunny,Intermediate,9,15,60,67,synthetic
S00154,Trenching,Cloudy,Beginner,10,13,40,67,synthetic
S00155,Earth Excavation,Sunny,Beginner,6,15,55,79,synthetic
S00156,Trenching,Sunny,Intermediate,9,7,35,41,synthetic
S00157,Grading,Sunny,Expert,7,14,35,39,synthetic
S00158,Trenching,Windy,Intermediate,1,13,60,66,synthetic
S00159,Grading,Sunny,Intermediate,8,12,30,31,synthetic
S00160,Trenching,Windy,Expert,6,13,30,32,synthetic
S00161,Material Loading,Cloudy,Beginner,1,13,45,59,synthetic
S00162,Grading,Sunny,Intermediate,3,14,25,24,synthetic
S00163,Earth Excavation,Sunny,Intermediate,9,16,40,47,synthetic
S00164,Grading,Sunny,Intermediate,8,14,45,55,synthetic
S00165,Grading,Windy,Beginner,1,11,45,62,synthetic
S00166,Demolition,Cloudy,Beginner,4,11,60,80,synthetic
S00167,Grading,Cloudy,Intermediate,5,8,55,58,synthetic
S00168,Trenching,Rainy,Expert,10,17,35,41,synthetic
S00169,Trenching,Rainy,Intermediate,7,11,45,57,synthetic
S00170,Earth Excavation,Rainy,Intermediate,10,13,75,94,synthetic
S00171,Grading,Rainy,Beginner,5,8,55,88,synthetic
S00172,Material Loading,Windy,Expert,10,11,40,50,synthetic
S00173,Demolition,Sunny,Intermediate,3,13,140,155,synthetic
S00174,Trenching,Windy,Intermediate,5,12,45,56,synthetic
S00175,Trenching,Sunny,Intermediate,3,8,45,48,synthetic
S00176,Earth Excavation,Sunny,Beginner,2,8,55,70,synthetic
S00177,Material Loading,Sunny,Expert,10,9,45,46,synthetic
S00178,Earth Excavation,Sunny,Expert,0,12,60,57,synthetic
S00179,Trenching,Sunny,Intermediate,2,9,55,56,synthetic
S00180,Trenching,Windy,Beginner,1,17,60,79,synthetic
S00181,Trenching,Sunny,Expert,10,10,65,66,synthetic
S00182,Material Loading,Cloudy,Beginner,4,12,20,27,synthetic
S00183,Earth Excavation,Rainy,Expert,4,13,50,53,synthetic
S00184,Grading,Sunny,Intermediate,1,15,35,36,synthetic
S00185,Earth Excavation,Sunny,Beginner,2,16,50,61,synthetic
S00186,Trenching,Sunny,Beginner,7,11,40,57,synthetic
S00187,Earth Excavation,Rainy,Intermediate,6,16,50,62,synthetic
S00188,Material Loading,Sunny,Expert,3,8,35,32,synthetic
S00189,Earth Excavation,Cloudy,Beginner,3,12,85,115,synthetic
S00190,Trenching,Sunny,Intermediate,3,8,50,54,synthetic
S00191,Earth Excavation,Sunny,Beginner,4,13,60,74,synthetic
S00192,Earth Excavation,Sunny,Expert,1,17,50,50,synthetic
S00193,Demolition,Sunny,Intermediate,5,12,115,127,synthetic
S00194,Demolition,Rainy,Beginner,4,12,145,216,synthetic
S00195,Demolition,Sunny,Intermediate,10,10,140,158,synthetic
S00196,Grading,Rainy,Beginner,9,9,45,71,synthetic
S00197,Material Loading,Sunny,Intermediate,6,17,30,33,synthetic
S00198,Demolition,Sunny,Intermediate,4,8,65,69,synthetic
S00199,Material Loading,Sunny,Beginner,4,14,30,42,synthetic
S00200,Trenching,Cloudy,Intermediate,6,17,55,60,synthetic
S00201,Material Loading,Rainy,Intermediate,6,7,25,28,synthetic
S00202,Trenching,Windy,Intermediate,4,12,65,73,synthetic
S00203,Earth Excavation,Sunny,Beginner,8,15,55,79,synthetic
S00204,Demolition,Cloudy,Intermediate,7,16,110,139,synthetic
S00205,Earth Excavation,Sunny,Intermediate,5,11,70,76,synthetic
S00206,Demolition,Cloudy,Intermediate,8,14,65,79,synthetic
S00207,Demolition,Rainy,Expert,10,16,85,95,synthetic
S00208,Demolition,Sunny,Expert,8,8,120,127,synthetic
S00209,Trenching,Sunny,Beginner,10,12,55,70,synthetic
S00210,Grading,Sunny,Intermediate,3,13,55,61,synthetic
S00211,Grading,Cloudy,Intermediate,5,7,60,66,synthetic
S00212,Grading,Sunny,Intermediate,1,17,55,60,synthetic
S00213,Trenching,Cloudy,Intermediate,4,13,40,43,synthetic
S00214,Demolition,Windy,Beginner,3,16,80,124,synthetic
S00215,Earth Excavation,Rainy,Beginner,1,12,75,101,synthetic
S00216,Grading,Sunny,Intermediate,3,9,30,32,synthetic
S00217,Trenching,Rainy,Expert,3,16,45,49,synthetic
S00218,Trenching,Rainy,Intermediate,1,16,30,36,synthetic
S00219,Grading,Sunny,Expert,4,17,50,47,synthetic
S00220,Demolition,Cloudy,Intermediate,9,17,70,94,synthetic
S00221,Grading,Rainy,Expert,2,9,25,26,synthetic
S00222,Trenching,Rainy,Expert,6,8,55,62,synthetic
S00223,Material Loading,Cloudy,Intermediate,8,14,35,40,synthetic
S00224,Earth Excavation,Sunny,Intermediate,7,15,90,109,synthetic
S00225,Trenching,Sunny,Intermediate,2,7,40,43,synthetic
S00226,Grading,Rainy,Beginner,9,16,35,61,synthetic
S00227,Trenching,Rainy,Intermediate,1,12,40,46,synthetic
S00228,Trenching,Sunny,Beginner,3,8,35,46,synthetic
S00229,Trenching,Sunny,Expert,0,11,30,27,synthetic
S00230,Earth Excavation,Rainy,Intermediate,3,8,40,48,synthetic
S00231,Earth Excavation,Cloudy,Beginner,5,16,80,126,synthetic
S00232,Material Loading,Sunny,Intermediate,3,15,30,32,synthetic
S00233,Material Loading,Sunny,Intermediate,4,9,40,41,synthetic
S00234,Grading,Sunny,Expert,3,8,50,50,synthetic
S00235,Earth Excavation,Windy,Intermediate,9,8,80,96,synthetic
S00236,Earth Excavation,Rainy,Intermediate,10,17,60,71,synthetic
S00237,Material Loading,Cloudy,Expert,10,10,25,25,synthetic
S00238,Earth Excavation,Rainy,Intermediate,4,14,65,78,synthetic
S00239,Material Loading,Cloudy,Intermediate,6,9,20,22,synthetic
S00240,Trenching,Cloudy,Beginner,1,11,60,81,synthetic
S00241,Earth Excavation,Cloudy,Intermediate,7,14,65,79,synthetic
S00242,Trenching,Windy,Expert,8,14,30,34,synthetic
S00243,Demolition,Cloudy,Intermediate,9,17,140,181,synthetic
S00244,Trenching,Sunny,Intermediate,3,14,35,40,synthetic
S00245,Demolition,Sunny,Expert,5,8,65,63,synthetic
S00246,Grading,Sunny,Intermediate,2,7,55,65,synthetic
S00247,Trenching,Sunny,Intermediate,8,16,40,45,synthetic
S00248,Grading,Sunny,Expert,5,13,25,23,synthetic
S00249,Earth Excavation,Rainy,Beginner,7,12,80,133,synthetic
S00250,Material Loading,Sunny,Intermediate,5,17,20,23,synthetic
S00251,Demolition,Windy,Expert,3,12,130,139,synthetic
S00252,Demolition,Sunny,Intermediate,7,10,95,110,synthetic
S00253,Demolition,Cloudy,Beginner,6,10,65,90,synthetic
S00254,Material Loading,Windy,Intermediate,8,17,30,37,synthetic
S00255,Grading,Cloudy,Intermediate,4,12,35,40,synthetic
S00256,Trenching,Sunny,Intermediate,0,11,50,56,synthetic
S00257,Trenching,Sunny,Intermediate,9,9,35,39,synthetic
S00258,Grading,Rainy,Expert,10,17,50,62,synthetic
S00259,Earth Excavation,Windy,Expert,9,11,70,80,synthetic
S00260,Demolition,Sunny,Expert,10,14,110,118,synthetic
S00261,Earth Excavation,Rainy,Intermediate,2,12,40,50,synthetic
S00262,Material Loading,Sunny,Beginner,9,16,20,33,synthetic
S00263,Demolition,Sunny,Expert,4,15,110,96,synthetic
S00264,Trenching,Windy,Beginner,8,16,50,73,synthetic
S00265,Demolition,Sunny,Beginner,1,8,110,144,synthetic
S00266,Material Loading,Windy,Intermediate,8,13,30,39,synthetic
S00267,Demolition,Sunny,Intermediate,9,15,90,102,synthetic
S00268,Earth Excavation,Rainy,Intermediate,0,7,50,59,synthetic
S00269,Material Loading,Sunny,Intermediate,6,14,30,33,synthetic
S00270,Grading,Cloudy,Expert,10,12,45,45,synthetic
S00271,Material Loading,Sunny,Expert,2,8,20,20,synthetic
S00272,Earth Excavation,Windy,Beginner,2,7,60,86,synthetic
S00273,Demolition,Sunny,Intermediate,1,11,135,141,synthetic
S00274,Trenching,Windy,Beginner,7,7,50,71,synthetic
S00275,Material Loading,Sunny,Beginner,3,17,25,31,synthetic
S00276,Demolition,Rainy,Expert,10,8,70,79,synthetic
S00277,Earth Excavation,Sunny,Intermediate,8,11,85,101,synthetic
S00278,Earth Excavation,Sunny,Intermediate,5,10,85,86,synthetic
S00279,Earth Excavation,Rainy,Beginner,5,16,40,67,synthetic
S00280,Grading,Sunny,Beginner,10,15,55,84,synthetic
S00281,Trenching,Windy,Beginner,4,14,50,60,synthetic
S00282,Material Loading,Sunny,Intermediate,2,11,30,33,synthetic
S00283,Grading,Sunny,Beginner,2,17,25,36,synthetic
S00284,Earth Excavation,Sunny,Expert,3,17,40,41,synthetic
S00285,Trenching,Windy,Beginner,0,9,50,66,synthetic
S00286,Trenching,Sunny,Expert,1,13,35,33,synthetic
S00287,Trenching,Sunny,Intermediate,5,15,50,64,synthetic
S00288,Grading,Sunny,Beginner,1,7,55,79,synthetic
S00289,Material Loading,Sunny,Beginner,3,15,30,40,synthetic
S00290,Material Loading,Cloudy,Intermediate,1,14,25,28,synthetic
S00291,Demolition,Sunny,Intermediate,7,17,80,87,synthetic
S00292,Demolition,Cloudy,Intermediate,0,12,65,67,synthetic
S00293,Trenching,Cloudy,Intermediate,10,11,70,87,synthetic
S00294,Grading,Cloudy,Expert,6,7,45,54,synthetic
S00295,Earth Excavation,Cloudy,Beginner,7,7,60,90,synthetic
S00296,Grading,Sunny,Beginner,5,14,45,69,synthetic
S00297,Grading,Cloudy,Intermediate,8,14,45,51,synthetic
S00298,Grading,Rainy,Intermediate,4,12,35,38,synthetic
S00299,Material Loading,Rainy,Expert,3,8,30,34,synthetic
S00300,Trenching,Windy,Intermediate,8,9,55,76,synthetic
S00301,Earth Excavation,Sunny,Expert,4,10,85,85,synthetic
S00302,Earth Excavation,Rainy,Beginner,9,8,85,147,synthetic
S00303,Grading,Sunny,Expert,2,10,40,37,synthetic
S00304,Grading,Sunny,Intermediate,4,12,40,43,synthetic
S00305,Material Loading,Sunny,Beginner,4,16,40,52,synthetic
S00306,Trenching,Cloudy,Expert,3,11,40,35,synthetic
S00307,Demolition,Sunny,Intermediate,4,8,125,138,synthetic
S00308,Grading,Sunny,Intermediate,5,15,35,37,synthetic
S00309,Trenching,Rainy,Intermediate,6,17,50,55,synthetic
S00310,Material Loading,Rainy,Beginner,3,12,45,69,synthetic
S00311,Grading,Cloudy,Intermediate,5,11,25,29,synthetic
S00312,Grading,Sunny,Beginner,7,9,40,58,synthetic
S00313,Earth Excavation,Rainy,Beginner,1,16,80,126,synthetic
S00314,Earth Excavation,Cloudy,Expert,6,17,60,58,synthetic
S00315,Demolition,Sunny,Expert,2,9,110,99,synthetic
S00316,Grading,Rainy,Intermediate,0,14,55,58,synthetic
S00317,Grading,Sunny,Beginner,10,17,30,45,synthetic
S00318,Trenching,Sunny,Beginner,10,10,55,74,synthetic
S00319,Material Loading,Sunny,Intermediate,7,9,25,27,synthetic
S00320,Grading,Rainy,Intermediate,9,9,50,63,synthetic
S00321,Material Loading,Sunny,Beginner,2,9,35,44,synthetic
S00322,Grading,Sunny,Expert,3,15,50,43,synthetic
S00323,Trenching,Sunny,Expert,4,12,35,31,synthetic
S00324,Material Loading,Windy,Intermediate,1,11,35,39,synthetic
S00325,Trenching,Rainy,Expert,0,15,65,75,synthetic
S00326,Material Loading,Sunny,Expert,4,12,30,30,synthetic
S00327,Earth Excavation,Rainy,Beginner,7,9,80,125,synthetic
S00328,Earth Excavation,Windy,Expert,5,11,50,63,synthetic
S00329,Material Loading,Sunny,Intermediate,0,8,45,45,synthetic
S00330,Material Loading,Windy,Expert,6,16,40,38,synthetic
S00331,Earth Excavation,Rainy,Expert,5,10,50,54,synthetic
S00332,Material Loading,Rainy,Expert,1,17,40,38,synthetic
S00333,Demolition,Cloudy,Beginner,10,15,100,160,synthetic
S00334,Earth Excavation,Sunny,Expert,10,9,75,79,synthetic
S00335,Grading,Sunny,Intermediate,9,15,40,46,synthetic
S00336,Grading,Cloudy,Intermediate,2,12,30,30,synthetic
S00337,Trenching,Rainy,Beginner,8,17,60,115,synthetic
S00338,Trenching,Cloudy,Intermediate,0,17,40,42,synthetic
S00339,Material Loading,Sunny,Beginner,5,15,30,41,synthetic
S00340,Grading,Sunny,Beginner,2,15,60,72,synthetic
S00341,Trenching,Rainy,Intermediate,10,7,50,61,synthetic
S00342,Demolition,Cloudy,Intermediate,5,7,120,142,synthetic
S00343,Demolition,Sunny,Expert,4,17,135,130,synthetic
S00344,Trenching,Rainy,Expert,2,15,60,68,synthetic
S00345,Trenching,Rainy,Intermediate,8,9,35,41,synthetic
S00346,Material Loading,Rainy,Beginner,1,13,20,24,synthetic
S00347,Demolition,Sunny,Intermediate,0,14,105,112,synthetic
S00348,Earth Excavation,Sunny,Beginner,10,13,85,121,synthetic
S00349,Trenching,Windy,Beginner,9,10,65,103,synthetic
S00350,Trenching,Sunny,Expert,4,7,35,38,synthetic
S00351,Earth Excavation,Rainy,Expert,8,13,40,47,synthetic
S00352,Earth Excavation,Cloudy,Beginner,4,12,70,89,synthetic
S00353,Material Loading,Cloudy,Intermediate,0,8,30,30,synthetic
S00354,Grading,Sunny,Expert,8,16,30,29,synthetic
