ts,machine_id,operator_id,engine_on,idle,fuel_l,load_cycle,belt_fastened,harsh_event,episode,sim_weather,sim_operator_skill,continuous_operation_min,fatigue_risk
2025-05-01 08:00,EXC001,OP1001,1,0,0.0803,0,1,0,work,Cloudy,Expert,1,0.0
2025-05-01 08:01,EXC001,OP1001,1,0,0.0806,0,1,0,work,Cloudy,Expert,2,0.0
2025-05-01 08:02,EXC001,OP1001,1,0,0.094,0,1,0,work,Cloudy,Expert,3,0.0
2025-05-01 08:03,EXC001,OP1001,1,0,0.0869,0,1,0,work,Cloudy,Expert,4,0.0
2025-05-01 08:04,EXC001,OP1001,1,0,0.0902,1,1,0,work,Cloudy,Expert,5,0.0
2025-05-01 08:05,EXC001,OP1001,1,0,0.076,0,1,0,work,Cloudy,Expert,6,0.0
2025-05-01 08:06,EXC001,OP1001,1,0,0.0851,0,1,0,work,Cloudy,Expert,7,0.0
2025-05-01 08:07,EXC001,OP1001,1,0,0.0868,1,1,0,work,Cloudy,Expert,8,0.0
2025-05-01 08:08,EXC001,OP1001,1,0,0.092,0,1,0,work,Cloudy,Expert,9,0.0
2025-05-01 08:09,EXC001,OP1001,1,0,0.0872,1,0,0,work,Cloudy,Expert,10,0.0
2025-05-01 08:10,EXC001,OP1001,1,0,0.0865,0,1,0,work,Cloudy,Expert,11,0.0
2025-05-01 08:11,EXC001,OP1001,1,0,0.0789,1,1,0,work,Cloudy,Expert,12,0.0
2025-05-01 08:12,EXC001,OP1001,1,0,0.0926,0,1,0,work,Cloudy,Expert,13,0.0
2025-05-01 08:13,EXC001,OP1001,1,0,0.0934,0,1,0,work,Cloudy,Expert,14,0.0
2025-05-01 08:14,EXC001,OP1001,1,0,0.0887,0,1,0,work,Cloudy,Expert,15,0.0
2025-05-01 08:15,EXC001,OP1001,1,0,0.0926,0,1,0,work,Cloudy,Expert,16,0.0
2025-05-01 08:16,EXC001,OP1001,1,0,0.089,0,1,0,work,Cloudy,Expert,17,0.0
2025-05-01 08:17,EXC001,OP1001,1,0,0.0882,0,1,0,work,Cloudy,Expert,18,0.0
2025-05-01 08:18,EXC001,OP1001,1,0,0.0807,0,1,0,work,Cloudy,Expert,19,0.0
2025-05-01 08:19,EXC001,OP1001,1,0,0.0944,0,1,0,work,Cloudy,Expert,20,0.0
2025-05-01 08:20,EXC001,OP1001,1,0,0.0905,0,1,0,work,Cloudy,Expert,21,0.0
2025-05-01 08:21,EXC001,OP1001,1,0,0.0841,0,1,0,work,Cloudy,Expert,22,0.0
2025-05-01 08:22,EXC001,OP1001,1,0,0.0902,0,1,0,work,Cloudy,Expert,23,0.0
2025-05-01 08:23,EXC001,OP1001,1,0,0.0886,0,1,0,work,Cloudy,Expert,24,0.0
2025-05-01 08:24,EXC001,OP1001,1,0,0.0852,0,1,0,work,Cloudy,Expert,25,0.0
2025-05-01 08:25,EXC001,OP1001,1,0,0.0836,1,1,0,work,Cloudy,Expert,26,0.0
2025-05-01 08:26,EXC001,OP1001,1,0,0.092,0,1,0,work,Cloudy,Expert,27,0.0
2025-05-01 08:27,EXC001,OP1001,1,0,0.0758,1,1,0,work,Cloudy,Expert,28,0.0
2025-05-01 08:28,EXC001,OP1001,1,0,0.0792,0,1,0,work,Cloudy,Expert,29,0.0
2025-05-01 08:29,EXC001,OP1001,1,0,0.0784,1,1,0,work,Cloudy,Expert,30,0.0
2025-05-01 08:30,EXC001,OP1001,1,0,0.0889,0,1,0,work,Cloudy,Expert,31,0.0
2025-05-01 08:31,EXC001,OP1001,1,0,0.0948,0,1,0,work,Cloudy,Expert,32,0.0
2025-05-01 08:32,EXC001,OP1001,1,0,0.0911,0,1,0,work,Cloudy,Expert,33,0.0
2025-05-01 08:33,EXC001,OP1001,1,0,0.0766,0,1,0,work,Cloudy,Expert,34,0.0
2025-05-01 08:34,EXC001,OP1001,1,0,0.0765,0,1,0,work,Cloudy,Expert,35,0.0
2025-05-01 08:35,EXC001,OP1001,1,0,0.0907,0,0,0,work,Cloudy,Expert,36,0.0
2025-05-01 08:36,EXC001,OP1001,1,0,0.078,1,1,0,work,Cloudy,Expert,37,0.0
2025-05-01 08:37,EXC001,OP1001,1,0,0.0937,0,1,0,work,Cloudy,Expert,38,0.0
2025-05-01 08:38,EXC001,OP1001,1,0,0.077,1,1,0,work,Cloudy,Expert,39,0.0
2025-05-01 08:39,EXC001,OP1001,1,0,0.0894,0,1,0,work,Cloudy,Expert,40,0.0
2025-05-01 08:40,EXC001,OP1001,1,0,0.085,1,1,0,work,Cloudy,Expert,41,0.0
2025-05-01 08:41,EXC001,OP1001,1,0,0.0775,0,1,0,work,Cloudy,Expert,42,0.0
2025-05-01 08:42,EXC001,OP1001,1,0,0.0779,0,1,0,work,Cloudy,Expert,43,0.0
2025-05-01 08:43,EXC001,OP1001,1,0,0.0767,0,1,0,work,Cloudy,Expert,44,0.0
2025-05-01 08:44,EXC001,OP1001,1,0,0.0797,0,1,0,work,Cloudy,Expert,45,0.0
2025-05-01 08:45,EXC001,OP1001,1,0,0.081,1,1,0,work,Cloudy,Expert,46,0.0
2025-05-01 08:46,EXC001,OP1001,1,0,0.0857,0,1,0,work,Cloudy,Expert,47,0.0
2025-05-01 08:47,EXC001,OP1001,1,0,0.082,1,1,0,work,Cloudy,Expert,48,0.0
2025-05-01 08:48,EXC001,OP1001,1,0,0.0856,0,1,0,work,Cloudy,Expert,49,0.0
2025-05-01 08:49,EXC001,OP1001,1,0,0.092,0,1,0,work,Cloudy,Expert,50,0.0
2025-05-01 08:50,EXC001,OP1001,1,0,0.087,0,1,0,work,Cloudy,Expert,51,0.0
2025-05-01 08:51,EXC001,OP1001,1,0,0.088,1,1,0,work,Cloudy,Expert,52,0.0
2025-05-01 08:52,EXC001,OP1001,1,0,0.0948,0,1,0,work,Cloudy,Expert,53,0.0
2025-05-01 08:53,EXC001,OP1001,1,0,0.0891,1,1,0,work,Cloudy,Expert,54,0.0
2025-05-01 08:54,EXC001,OP1001,1,0,0.0807,0,1,0,work,Cloudy,Expert,55,0.0
2025-05-01 08:55,EXC001,OP1001,1,0,0.0816,0,1,0,work,Cloudy,Expert,56,0.0
2025-05-01 08:56,EXC001,OP1001,1,0,0.0786,1,1,0,work,Cloudy,Expert,57,0.0
2025-05-01 08:57,EXC001,OP1001,1,0,0.0904,0,1,0,work,Cloudy,Expert,58,0.0
2025-05-01 08:58,EXC001,OP1001,1,0,0.0767,0,1,0,work,Cloudy,Expert,59,0.0
2025-05-01 08:59,EXC001,OP1001,1,0,0.0911,0,1,0,work,Cloudy,Expert,60,0.0
2025-05-01 09:00,EXC001,OP1001,1,0,0.0862,1,1,0,work,Cloudy,Expert,61,0.0
2025-05-01 09:01,EXC001,OP1001,1,0,0.0878,0,1,0,work,Cloudy,Expert,62,0.0
2025-05-01 09:02,EXC001,OP1001,1,0,0.0932,0,1,0,work,Cloudy,Expert,63,0.0
2025-05-01 09:03,EXC001,OP1001,1,0,0.0836,0,1,0,work,Cloudy,Expert,64,0.0
2025-05-01 09:04,EXC001,OP1001,1,0,0.0876,0,1,0,work,Cloudy,Expert,65,0.0
2025-05-01 09:05,EXC001,OP1001,1,0,0.0831,0,1,0,work,Cloudy,Expert,66,0.0
2025-05-01 09:06,EXC001,OP1001,1,0,0.0934,0,1,1,work,Cloudy,Expert,67,0.0
2025-05-01 09:07,EXC001,OP1001,1,0,0.08,0,1,0,work,Cloudy,Expert,68,0.0
2025-05-01 09:08,EXC001,OP1001,1,0,0.0868,0,1,0,work,Cloudy,Expert,69,0.0
2025-05-01 09:09,EXC001,OP1001,1,0,0.0907,1,1,0,work,Cloudy,Expert,70,0.0
2025-05-01 09:10,EXC001,OP1001,1,0,0.0819,0,1,0,work,Cloudy,Expert,71,0.0
2025-05-01 09:11,EXC001,OP1001,1,0,0.0889,0,1,0,work,Cloudy,Expert,72,0.0
2025-05-01 09:12,EXC001,OP1001,1,0,0.0913,0,1,0,work,Cloudy,Expert,73,0.0
2025-05-01 09:13,EXC001,OP1001,1,0,0.0753,0,1,0,work,Cloudy,Expert,74,0.0
2025-05-01 09:14,EXC001,OP1001,1,0,0.0909,0,1,0,work,Cloudy,Expert,75,0.0
2025-05-01 09:15,EXC001,OP1001,1,0,0.0764,0,1,0,work,Cloudy,Expert,76,0.0
2025-05-01 09:16,EXC001,OP1001,1,0,0.0811,0,1,0,work,Cloudy,Expert,77,0.0
2025-05-01 09:17,EXC001,OP1001,1,0,0.0945,0,1,0,work,Cloudy,Expert,78,0.0
2025-05-01 09:18,EXC001,OP1001,1,0,0.0922,1,1,0,work,Cloudy,Expert,79,0.0
2025-05-01 09:19,EXC001,OP1001,1,0,0.0845,0,1,0,work,Cloudy,Expert,80,0.0
2025-05-01 09:20,EXC001,OP1001,1,0,0.0918,1,1,0,work,Cloudy,Expert,81,0.0
2025-05-01 09:21,EXC001,OP1001,1,0,0.0775,1,1,0,work,Cloudy,Expert,82,0.0
2025-05-01 09:22,EXC001,OP1001,1,0,0.0871,0,1,0,work,Cloudy,Expert,83,0.0
2025-05-01 09:23,EXC001,OP1001,1,0,0.0943,0,1,0,work,Cloudy,Expert,84,0.0
2025-05-01 09:24,EXC001,OP1001,1,0,0.0944,0,0,0,work,Cloudy,Expert,85,0.0
2025-05-01 09:25,EXC001,OP1001,1,0,0.0836,0,1,0,work,Cloudy,Expert,86,0.0
2025-05-01 09:26,EXC001,OP1001,1,0,0.0944,0,1,0,work,Cloudy,Expert,87,0.0
2025-05-01 09:27,EXC001,OP1001,1,0,0.0769,1,1,0,work,Cloudy,Expert,88,0.0
2025-05-01 09:28,EXC001,OP1001,1,0,0.0802,0,1,0,work,Cloudy,Expert,89,0.0
2025-05-01 09:29,EXC001,OP1001,1,0,0.084,0,1,0,work,Cloudy,Expert,90,0.0
2025-05-01 09:30,EXC001,OP1001,1,0,0.0775,1,1,0,work,Cloudy,Expert,91,0.0
2025-05-01 09:31,EXC001,OP1001,1,0,0.0888,0,1,0,work,Cloudy,Expert,92,0.0
2025-05-01 09:32,EXC001,OP1001,1,0,0.0809,0,1,0,work,Cloudy,Expert,93,0.0
2025-05-01 09:33,EXC001,OP1001,1,0,0.0813,1,1,0,work,Cloudy,Expert,94,0.0
2025-05-01 09:34,EXC001,OP1001,1,0,0.0922,0,1,0,work,Cloudy,Expert,95,0.0
2025-05-01 09:35,EXC001,OP1001,1,0,0.091,1,1,0,work,Cloudy,Expert,96,0.0
2025-05-01 09:36,EXC001,OP1001,1,0,0.0854,1,1,0,work,Cloudy,Expert,97,0.0
2025-05-01 09:37,EXC001,OP1001,1,0,0.0806,0,1,0,work,Cloudy,Expert,98,0.0
2025-05-01 09:38,EXC001,OP1001,1,0,0.0864,0,1,0,work,Cloudy,Expert,99,0.0
2025-05-01 09:39,EXC001,OP1001,1,0,0.0903,1,1,0,work,Cloudy,Expert,100,0.0
2025-05-01 09:40,EXC001,OP1001,1,0,0.0885,0,1,0,work,Cloudy,Expert,101,0.0
2025-05-01 09:41,EXC001,OP1001,1,0,0.0835,1,1,0,work,Cloudy,Expert,102,0.0
2025-05-01 09:42,EXC001,OP1001,1,0,0.0787,0,1,0,work,Cloudy,Expert,103,0.0
2025-05-01 09:43,EXC001,OP1001,1,0,0.0825,0,1,0,work,Cloudy,Expert,104,0.0
2025-05-01 09:44,EXC001,OP1001,1,0,0.0887,0,1,0,work,Cloudy,Expert,105,0.0
2025-05-01 09:45,EXC001,OP1001,1,0,0.0858,0,1,0,work,Cloudy,Expert,106,0.0
2025-05-01 09:46,EXC001,OP1001,1,0,0.0867,1,1,0,work,Cloudy,Expert,107,0.0
2025-05-01 09:47,EXC001,OP1001,1,0,0.0922,0,1,0,work,Cloudy,Expert,108,0.0
2025-05-01 09:48,EXC001,OP1001,1,0,0.0753,0,1,0,work,Cloudy,Expert,109,0.0
2025-05-01 09:49,EXC001,OP1001,1,0,0.088,1,1,0,work,Cloudy,Expert,110,0.0
2025-05-01 09:50,EXC001,OP1001,1,0,0.0762,0,1,0,work,Cloudy,Expert,111,0.0
2025-05-01 09:51,EXC001,OP1001,1,0,0.0936,0,1,0,work,Cloudy,Expert,112,0.0
2025-05-01 09:52,EXC001,OP1001,1,0,0.0768,1,1,0,work,Cloudy,Expert,113,0.0
2025-05-01 09:53,EXC001,OP1001,1,0,0.0856,0,1,0,work,Cloudy,Expert,114,0.0
2025-05-01 09:54,EXC001,OP1001,1,0,0.0821,0,1,0,work,Cloudy,Expert,115,0.0
2025-05-01 09:55,EXC001,OP1001,1,0,0.0864,0,1,0,work,Cloudy,Expert,116,0.0
2025-05-01 09:56,EXC001,OP1001,1,0,0.092,1,1,0,work,Cloudy,Expert,117,0.0
2025-05-01 09:57,EXC001,OP1001,1,0,0.0878,0,1,0,work,Cloudy,Expert,118,0.0
2025-05-01 09:58,EXC001,OP1001,1,0,0.0806,0,1,0,work,Cloudy,Expert,119,0.0
2025-05-01 09:59,EXC001,OP1001,1,0,0.0843,1,1,0,work,Cloudy,Expert,120,0.0
2025-05-01 10:00,EXC001,OP1001,1,0,0.0918,0,1,0,work,Cloudy,Expert,121,0.0
2025-05-01 10:01,EXC001,OP1001,1,0,0.0943,0,1,0,work,Cloudy,Expert,122,0.0
2025-05-01 10:02,EXC001,OP1001,1,0,0.0927,1,1,0,work,Cloudy,Expert,123,0.0
2025-05-01 10:03,EXC001,OP1001,1,0,0.0762,0,1,0,work,Cloudy,Expert,124,0.0
2025-05-01 10:04,EXC001,OP1001,1,0,0.0907,0,1,0,work,Cloudy,Expert,125,0.0
2025-05-01 10:05,EXC001,OP1001,1,0,0.0885,0,1,0,work,Cloudy,Expert,126,0.0
2025-05-01 10:06,EXC001,OP1001,1,0,0.0839,0,1,0,work,Cloudy,Expert,127,0.0
2025-05-01 10:07,EXC001,OP1001,1,0,0.0914,1,1,0,work,Cloudy,Expert,128,0.0
2025-05-01 10:08,EXC001,OP1001,1,0,0.0877,1,1,0,work,Cloudy,Expert,129,0.0
2025-05-01 10:09,EXC001,OP1001,1,0,0.079,0,1,0,work,Cloudy,Expert,130,0.0
2025-05-01 10:10,EXC001,OP1001,1,0,0.0829,0,1,0,work,Cloudy,Expert,131,0.0
2025-05-01 10:11,EXC001,OP1001,1,0,0.0775,1,1,0,work,Cloudy,Expert,132,0.0
2025-05-01 10:12,EXC001,OP1001,1,0,0.0802,0,1,0,work,Cloudy,Expert,133,0.0
2025-05-01 10:13,EXC001,OP1001,1,0,0.0945,0,1,0,work,Cloudy,Expert,134,0.0
2025-05-01 10:14,EXC001,OP1001,1,0,0.0797,0,1,0,work,Cloudy,Expert,135,0.0
2025-05-01 10:15,EXC001,OP1001,1,0,0.0767,1,1,0,work,Cloudy,Expert,136,0.0
2025-05-01 10:16,EXC001,OP1001,1,0,0.0781,0,1,0,work,Cloudy,Expert,137,0.0
2025-05-01 10:17,EXC001,OP1001,1,0,0.0895,0,1,0,work,Cloudy,Expert,138,0.0
2025-05-01 10:18,EXC001,OP1001,1,0,0.0764,0,1,0,work,Cloudy,Expert,139,0.0
2025-05-01 10:19,EXC001,OP1001,1,0,0.0818,0,1,0,work,Cloudy,Expert,140,0.0
2025-05-01 10:20,EXC001,OP1001,1,0,0.0852,0,1,0,work,Cloudy,Expert,141,0.0
2025-05-01 10:21,EXC001,OP1001,1,0,0.0815,1,1,0,work,Cloudy,Expert,142,0.0
2025-05-01 10:22,EXC001,OP1001,1,0,0.0825,0,1,0,work,Cloudy,Expert,143,0.0
2025-05-01 10:23,EXC001,OP1001,1,0,0.0913,0,1,0,work,Cloudy,Expert,144,0.0
2025-05-01 10:24,EXC001,OP1001,1,0,0.0864,0,1,0,work,Cloudy,Expert,145,0.0
2025-05-01 10:25,EXC001,OP1001,1,0,0.0899,0,1,0,work,Cloudy,Expert,146,0.0
2025-05-01 10:26,EXC001,OP1001,1,0,0.0875,0,1,0,work,Cloudy,Expert,147,0.0
2025-05-01 10:27,EXC001,OP1001,1,0,0.0808,0,1,0,work,Cloudy,Expert,148,0.0
2025-05-01 10:28,EXC001,OP1001,1,0,0.0839,1,1,0,work,Cloudy,Expert,149,0.0
2025-05-01 10:29,EXC001,OP1001,1,0,0.0861,1,1,0,work,Cloudy,Expert,150,0.0
2025-05-01 10:30,EXC001,OP1001,1,0,0.0904,0,1,0,work,Cloudy,Expert,151,0.0
2025-05-01 10:31,EXC001,OP1001,1,0,0.0901,0,1,0,work,Cloudy,Expert,152,0.0
2025-05-01 10:32,EXC001,OP1001,1,0,0.0819,0,1,0,work,Cloudy,Expert,153,0.0
2025-05-01 10:33,EXC001,OP1001,1,0,0.0765,0,1,0,work,Cloudy,Expert,154,0.0
2025-05-01 10:34,EXC001,OP1001,1,0,0.0843,1,1,0,work,Cloudy,Expert,155,0.0
2025-05-01 10:35,EXC001,OP1001,1,0,0.0887,0,1,0,work,Cloudy,Expert,156,0.0
2025-05-01 10:36,EXC001,OP1001,1,0,0.0767,0,1,0,work,Cloudy,Expert,157,0.0
2025-05-01 10:37,EXC001,OP1001,1,0,0.0925,0,1,0,work,Cloudy,Expert,158,0.0
2025-05-01 10:38,EXC001,OP1001,1,0,0.0863,0,1,0,work,Cloudy,Expert,159,0.0
2025-05-01 10:39,EXC001,OP1001,1,0,0.0808,0,1,0,work,Cloudy,Expert,160,0.0
2025-05-01 10:40,EXC001,OP1001,1,0,0.0808,0,1,0,work,Cloudy,Expert,161,0.0
2025-05-01 10:41,EXC001,OP1001,1,0,0.0862,0,1,0,work,Cloudy,Expert,162,0.0
2025-05-01 10:42,EXC001,OP1001,1,0,0.0858,0,1,0,work,Cloudy,Expert,163,0.0
2025-05-01 10:43,EXC001,OP1001,1,0,0.0778,1,1,0,work,Cloudy,Expert,164,0.0
2025-05-01 10:44,EXC001,OP1001,1,0,0.085,0,1,0,work,Cloudy,Expert,165,0.0
2025-05-01 10:45,EXC001,OP1001,1,0,0.0927,0,1,0,work,Cloudy,Expert,166,0.0
2025-05-01 10:46,EXC001,OP1001,1,0,0.0819,0,1,0,work,Cloudy,Expert,167,0.0
2025-05-01 10:47,EXC001,OP1001,1,0,0.0803,0,1,0,work,Cloudy,Expert,168,0.0
2025-05-01 10:48,EXC001,OP1001,1,0,0.0779,1,1,0,work,Cloudy,Expert,169,0.0
2025-05-01 10:49,EXC001,OP1001,1,0,0.081,0,1,0,work,Cloudy,Expert,170,0.0
2025-05-01 10:50,EXC001,OP1001,1,0,0.0755,0,1,0,work,Cloudy,Expert,171,0.0
2025-05-01 10:51,EXC001,OP1001,1,0,0.0844,0,1,0,work,Cloudy,Expert,172,0.0
2025-05-01 10:52,EXC001,OP1001,1,0,0.0927,0,1,0,work,Cloudy,Expert,173,0.0
2025-05-01 10:53,EXC001,OP1001,1,0,0.0829,0,1,0,work,Cloudy,Expert,174,0.0
2025-05-01 10:54,EXC001,OP1001,1,0,0.0936,0,1,0,work,Cloudy,Expert,175,0.0
2025-05-01 10:55,EXC001,OP1001,1,0,0.0776,0,1,0,work,Cloudy,Expert,176,0.0
2025-05-01 10:56,EXC001,OP1001,1,0,0.0777,0,1,0,work,Cloudy,Expert,177,0.0
2025-05-01 10:57,EXC001,OP1001,1,0,0.0755,0,1,0,work,Cloudy,Expert,178,0.0
2025-05-01 10:58,EXC001,OP1001,1,0,0.0816,0,1,0,work,Cloudy,Expert,179,0.0
2025-05-01 10:59,EXC001,OP1001,1,0,0.0845,0,1,0,work,Cloudy,Expert,180,0.0
2025-05-01 11:00,EXC001,OP1001,1,0,0.0776,0,1,0,work,Cloudy,Expert,181,0.0
2025-05-01 11:01,EXC001,OP1001,1,0,0.0882,0,1,0,work,Cloudy,Expert,182,0.001
2025-05-01 11:02,EXC001,OP1001,1,0,0.0897,0,1,0,work,Cloudy,Expert,183,0.003
2025-05-01 11:03,EXC001,OP1001,1,0,0.0752,1,1,0,work,Cloudy,Expert,184,0.004
2025-05-01 11:04,EXC001,OP1001,1,0,0.0836,0,1,0,work,Cloudy,Expert,185,0.006
2025-05-01 11:05,EXC001,OP1001,1,0,0.0931,1,1,0,work,Cloudy,Expert,186,0.007
2025-05-01 11:06,EXC001,OP1001,1,0,0.0822,0,1,0,work,Cloudy,Expert,187,0.009
2025-05-01 11:07,EXC001,OP1001,1,0,0.0803,1,1,0,work,Cloudy,Expert,188,0.01
2025-05-01 11:08,EXC001,OP1001,1,0,0.0757,1,1,0,work,Cloudy,Expert,189,0.012
2025-05-01 11:09,EXC001,OP1001,1,0,0.0757,0,1,0,work,Cloudy,Expert,190,0.013
2025-05-01 11:10,EXC001,OP1001,1,0,0.0881,0,1,0,work,Cloudy,Expert,191,0.015
2025-05-01 11:11,EXC001,OP1001,1,0,0.0817,0,1,0,work,Cloudy,Expert,192,0.016
2025-05-01 11:12,EXC001,OP1001,1,0,0.089,0,1,0,work,Cloudy,Expert,193,0.017
2025-05-01 11:13,EXC001,OP1001,1,0,0.0903,0,1,0,work,Cloudy,Expert,194,0.019
2025-05-01 11:14,EXC001,OP1001,1,0,0.0951,0,1,0,work,Cloudy,Expert,195,0.02
2025-05-01 11:15,EXC001,OP1001,1,0,0.0779,1,1,0,work,Cloudy,Expert,196,0.022
2025-05-01 11:16,EXC001,OP1001,1,0,0.0897,0,1,0,work,Cloudy,Expert,197,0.023
2025-05-01 11:17,EXC001,OP1001,1,0,0.0937,1,1,0,work,Cloudy,Expert,198,0.025
2025-05-01 11:18,EXC001,OP1001,1,0,0.0781,1,1,0,work,Cloudy,Expert,199,0.026
2025-05-01 11:19,EXC001,OP1001,1,0,0.0929,0,1,0,work,Cloudy,Expert,200,0.028
2025-05-01 11:20,EXC001,OP1001,1,0,0.0797,0,0,0,work,Cloudy,Expert,201,0.029
2025-05-01 11:21,EXC001,OP1001,1,0,0.0934,0,1,0,work,Cloudy,Expert,202,0.031
2025-05-01 11:22,EXC001,OP1001,1,0,0.0753,0,1,0,work,Cloudy,Expert,203,0.032
2025-05-01 11:23,EXC001,OP1001,1,0,0.0895,0,1,0,work,Cloudy,Expert,204,0.034
2025-05-01 11:24,EXC001,OP1001,1,0,0.0895,0,1,0,work,Cloudy,Expert,205,0.035
2025-05-01 11:25,EXC001,OP1001,1,0,0.0829,1,1,0,work,Cloudy,Expert,206,0.036
2025-05-01 11:26,EXC001,OP1001,1,0,0.0783,0,1,0,work,Cloudy,Expert,207,0.038
2025-05-01 11:27,EXC001,OP1001,1,0,0.0867,0,1,0,work,Cloudy,Expert,208,0.039
2025-05-01 11:28,EXC001,OP1001,1,0,0.0768,0,1,0,work,Cloudy,Expert,209,0.041
2025-05-01 11:29,EXC001,OP1001,1,0,0.0781,1,1,0,work,Cloudy,Expert,210,0.042
2025-05-01 11:30,EXC001,OP1001,1,0,0.0946,0,1,0,work,Cloudy,Expert,211,0.044
2025-05-01 11:31,EXC001,OP1001,1,0,0.0905,0,1,0,work,Cloudy,Expert,212,0.045
2025-05-01 11:32,EXC001,OP1001,1,0,0.0768,1,1,0,work,Cloudy,Expert,213,0.047
2025-05-01 11:33,EXC001,OP1001,1,0,0.0886,0,1,0,work,Cloudy,Expert,214,0.048
2025-05-01 11:34,EXC001,OP1001,1,0,0.0767,0,1,0,work,Cloudy,Expert,215,0.05
2025-05-01 11:35,EXC001,OP1001,1,0,0.0902,0,1,0,work,Cloudy,Expert,216,0.051
2025-05-01 11:36,EXC001,OP1001,1,0,0.0792,0,1,0,work,Cloudy,Expert,217,0.052
2025-05-01 11:37,EXC001,OP1001,1,0,0.0901,0,1,0,work,Cloudy,Expert,218,0.054
2025-05-01 11:38,EXC001,OP1001,1,0,0.0821,0,1,0,work,Cloudy,Expert,219,0.055
2025-05-01 11:39,EXC001,OP1001,1,0,0.0902,0,1,0,work,Cloudy,Expert,220,0.057
2025-05-01 11:40,EXC001,OP1001,1,0,0.0944,0,1,0,work,Cloudy,Expert,221,0.058
2025-05-01 11:41,EXC001,OP1001,1,0,0.0872,0,1,0,work,Cloudy,Expert,222,0.06
2025-05-01 11:42,EXC001,OP1001,1,0,0.0889,0,1,0,work,Cloudy,Expert,223,0.061
2025-05-01 11:43,EXC001,OP1001,1,0,0.0787,0,1,0,work,Cloudy,Expert,224,0.063
2025-05-01 11:44,EXC001,OP1001,1,0,0.0891,0,1,0,work,Cloudy,Expert,225,0.064
2025-05-01 11:45,EXC001,OP1001,1,0,0.0777,0,1,0,work,Cloudy,Expert,226,0.066
2025-05-01 11:46,EXC001,OP1001,1,0,0.0845,0,1,0,work,Cloudy,Expert,227,0.067
2025-05-01 11:47,EXC001,OP1001,1,0,0.0866,0,1,0,work,Cloudy,Expert,228,0.069
2025-05-01 11:48,EXC001,OP1001,1,0,0.0768,1,1,0,work,Cloudy,Expert,229,0.07
2025-05-01 11:49,EXC001,OP1001,1,0,0.0937,0,1,0,work,Cloudy,Expert,230,0.071
